t,V_out,V_in
-8.560000000000001e-05,1.12,0.0
-8.55e-05,1.12,0.0
-8.54e-05,1.08,0.0
-8.530000000000001e-05,1.12,0.0
-8.520000000000001e-05,1.08,0.0
-8.510000000000001e-05,1.12,0.0
-8.5e-05,1.12,0.08
-8.49e-05,1.08,0.0
-8.48e-05,1.08,0.0
-8.47e-05,1.08,0.08
-8.46e-05,1.08,0.08
-8.450000000000001e-05,1.08,0.08
-8.44e-05,1.08,0.0
-8.43e-05,1.08,0.0
-8.420000000000001e-05,1.04,0.0
-8.410000000000001e-05,1.08,0.0
-8.400000000000001e-05,1.08,0.08
-8.39e-05,1.08,0.08
-8.38e-05,1.08,0.16
-8.37e-05,1.12,0.08
-8.36e-05,1.08,0.0
-8.35e-05,1.04,0.0
-8.340000000000001e-05,1.08,0.0
-8.33e-05,1.08,0.0
-8.32e-05,1.08,0.08
-8.310000000000001e-05,1.08,0.0
-8.300000000000001e-05,1.08,0.0
-8.290000000000001e-05,1.08,0.08
-8.280000000000001e-05,1.08,0.08
-8.27e-05,1.12,0.0
-8.26e-05,1.12,0.08
-8.25e-05,1.12,0.0
-8.24e-05,1.12,0.0
-8.23e-05,1.08,0.0
-8.22e-05,1.04,0.08
-8.21e-05,1.08,0.08
-8.200000000000001e-05,1.08,0.16
-8.190000000000001e-05,1.08,0.0
-8.180000000000001e-05,1.08,0.0
-8.170000000000001e-05,1.08,0.08
-8.16e-05,1.12,0.0
-8.15e-05,1.04,0.0
-8.14e-05,1.08,0.0
-8.13e-05,1.08,0.0
-8.12e-05,1.12,0.0
-8.11e-05,1.08,0.08
-8.1e-05,1.12,0.0
-8.09e-05,1.12,0.0
-8.080000000000001e-05,1.12,-0.08
-8.070000000000001e-05,1.12,0.0
-8.060000000000001e-05,1.04,0.0
-8.05e-05,1.08,0.16
-8.04e-05,1.08,0.08
-8.03e-05,1.08,0.08
-8.02e-05,1.08,0.08
-8.01e-05,1.12,0.0
-8e-05,1.12,0.0
-7.99e-05,1.08,0.0
-7.98e-05,1.08,0.0
-7.970000000000001e-05,1.12,0.0
-7.960000000000001e-05,1.08,0.0
-7.950000000000001e-05,1.08,0.08
-7.94e-05,1.08,0.08
-7.93e-05,1.12,0.0
-7.92e-05,1.12,0.08
-7.91e-05,1.12,0.0
-7.9e-05,1.12,0.0
-7.890000000000001e-05,1.04,0.08
-7.88e-05,1.08,0.08
-7.87e-05,1.08,0.0
-7.860000000000001e-05,1.08,0.0
-7.850000000000001e-05,1.08,0.0
-7.840000000000001e-05,1.08,0.0
-7.83e-05,1.08,0.08
-7.82e-05,1.12,0.0
-7.81e-05,1.08,0.0
-7.8e-05,1.08,0.16
-7.79e-05,1.08,0.0
-7.780000000000001e-05,1.08,0.08
-7.77e-05,1.08,-0.08
-7.76e-05,1.08,0.08
-7.750000000000001e-05,1.08,0.0
-7.740000000000001e-05,1.12,0.0
-7.730000000000001e-05,1.08,0.0
-7.72e-05,1.08,0.0
-7.71e-05,1.08,0.0
-7.7e-05,1.12,0.08
-7.69e-05,1.08,0.16
-7.68e-05,1.04,0.0
-7.670000000000001e-05,1.12,0.08
-7.66e-05,1.08,0.08
-7.65e-05,1.04,0.0
-7.640000000000001e-05,1.08,0.0
-7.630000000000001e-05,1.08,0.08
-7.620000000000001e-05,1.08,0.0
-7.61e-05,1.08,0.0
-7.6e-05,1.12,0.0
-7.59e-05,1.08,0.08
-7.58e-05,1.12,0.08
-7.57e-05,1.08,0.0
-7.560000000000001e-05,1.12,0.08
-7.55e-05,1.08,0.0
-7.54e-05,1.12,0.0
-7.530000000000001e-05,1.08,0.08
-7.520000000000001e-05,1.08,0.0
-7.510000000000001e-05,1.12,0.0
-7.500000000000001e-05,1.12,0.08
-7.49e-05,1.12,0.0
-7.48e-05,1.08,0.08
-7.47e-05,1.08,0.0
-7.46e-05,1.08,0.08
-7.45e-05,1.08,0.0
-7.44e-05,1.08,0.0
-7.43e-05,1.08,0.0
-7.420000000000001e-05,1.08,0.0
-7.410000000000001e-05,1.08,0.0
-7.400000000000001e-05,1.08,0.0
-7.390000000000001e-05,1.08,0.0
-7.38e-05,1.08,0.0
-7.37e-05,1.08,0.08
-7.36e-05,1.08,0.0
-7.35e-05,1.04,0.08
-7.34e-05,1.12,0.08
-7.33e-05,1.08,0.08
-7.32e-05,1.08,0.08
-7.310000000000002e-05,1.08,0.08
-7.300000000000001e-05,1.08,0.0
-7.290000000000001e-05,1.08,0.0
-7.280000000000001e-05,1.08,0.0
-7.27e-05,1.04,0.08
-7.26e-05,1.08,0.0
-7.25e-05,1.12,0.0
-7.24e-05,1.12,0.08
-7.23e-05,1.08,0.08
-7.22e-05,1.04,0.08
-7.21e-05,1.04,0.0
-7.2e-05,1.12,0.0
-7.190000000000001e-05,1.08,0.08
-7.180000000000001e-05,1.12,0.0
-7.170000000000001e-05,1.08,0.0
-7.16e-05,1.08,0.08
-7.15e-05,1.08,0.0
-7.14e-05,1.08,0.08
-7.13e-05,1.12,0.0
-7.12e-05,1.12,0.0
-7.110000000000001e-05,1.12,0.08
-7.1e-05,1.12,0.0
-7.09e-05,1.08,0.0
-7.080000000000001e-05,1.12,0.08
-7.070000000000001e-05,1.08,0.08
-7.060000000000001e-05,1.08,0.08
-7.05e-05,1.08,0.16
-7.04e-05,1.08,0.0
-7.03e-05,1.08,0.0
-7.02e-05,1.12,0.0
-7.01e-05,1.12,0.0
-7.000000000000001e-05,1.08,0.0
-6.99e-05,1.08,0.0
-6.98e-05,1.08,0.0
-6.970000000000001e-05,1.08,0.0
-6.960000000000001e-05,1.08,0.08
-6.950000000000001e-05,1.12,0.0
-6.94e-05,1.08,0.08
-6.93e-05,1.08,0.0
-6.92e-05,1.08,0.0
-6.91e-05,1.08,0.08
-6.9e-05,1.04,0.08
-6.890000000000001e-05,1.08,0.08
-6.88e-05,1.08,2.96
-6.87e-05,1.12,2.96
-6.860000000000001e-05,1.04,2.96
-6.850000000000001e-05,0.92,3.04
-6.840000000000001e-05,0.84,2.96
-6.83e-05,0.76,2.96
-6.82e-05,0.68,2.96
-6.81e-05,0.6,3.04
-6.8e-05,0.52,3.04
-6.79e-05,0.44,2.88
-6.780000000000001e-05,0.4,3.04
-6.77e-05,0.36,3.04
-6.76e-05,0.28,2.96
-6.750000000000001e-05,0.24,2.96
-6.740000000000001e-05,0.24,3.04
-6.730000000000001e-05,0.2,2.96
-6.720000000000001e-05,0.16,2.96
-6.71e-05,0.16,2.96
-6.7e-05,0.2,3.04
-6.69e-05,0.12,2.96
-6.68e-05,0.12,2.96
-6.670000000000001e-05,0.12,3.04
-6.66e-05,0.12,3.04
-6.65e-05,0.12,2.96
-6.640000000000001e-05,0.08,3.04
-6.630000000000001e-05,0.12,3.04
-6.620000000000001e-05,0.08,2.96
-6.610000000000001e-05,0.08,2.96
-6.6e-05,0.12,2.96
-6.59e-05,0.12,3.04
-6.58e-05,0.08,2.88
-6.57e-05,0.08,2.96
-6.56e-05,0.12,3.04
-6.55e-05,0.08,2.96
-6.54e-05,0.12,2.96
-6.530000000000002e-05,0.08,2.88
-6.520000000000001e-05,0.12,3.04
-6.510000000000001e-05,0.12,3.04
-6.500000000000001e-05,0.12,3.04
-6.49e-05,0.08,3.04
-6.48e-05,0.08,3.04
-6.47e-05,0.12,2.96
-6.46e-05,0.04,2.96
-6.45e-05,0.04,2.96
-6.440000000000001e-05,0.08,2.96
-6.43e-05,0.12,2.96
-6.42e-05,0.12,3.04
-6.410000000000001e-05,0.08,2.88
-6.400000000000001e-05,0.08,2.96
-6.390000000000001e-05,0.08,2.96
-6.38e-05,0.08,3.04
-6.37e-05,0.12,3.04
-6.36e-05,0.04,2.96
-6.350000000000001e-05,0.12,3.04
-6.340000000000001e-05,0.08,2.96
-6.330000000000001e-05,0.08,2.96
-6.32e-05,0.08,2.96
-6.31e-05,0.08,2.96
-6.3e-05,0.08,3.04
-6.290000000000001e-05,0.08,3.12
-6.280000000000001e-05,0.04,3.04
-6.27e-05,0.08,3.04
-6.26e-05,0.08,2.96
-6.25e-05,0.08,2.96
-6.24e-05,0.12,3.04
-6.230000000000001e-05,0.04,3.04
-6.220000000000001e-05,0.04,3.04
-6.21e-05,0.04,2.96
-6.2e-05,0.08,2.96
-6.19e-05,0.08,3.04
-6.180000000000001e-05,0.08,2.96
-6.170000000000001e-05,0.04,3.04
-6.16e-05,0.08,2.96
-6.15e-05,0.04,2.96
-6.14e-05,0.08,2.96
-6.13e-05,0.08,3.04
-6.120000000000001e-05,0.12,2.96
-6.110000000000001e-05,0.12,3.04
-6.1000000000000005e-05,0.16,3.04
-6.09e-05,0.08,3.12
-6.08e-05,0.08,3.04
-6.070000000000001e-05,0.08,3.12
-6.060000000000001e-05,0.08,2.96
-6.050000000000001e-05,0.12,3.04
-6.0400000000000004e-05,0.08,2.96
-6.03e-05,0.04,2.96
-6.02e-05,0.08,3.04
-6.010000000000001e-05,0.08,3.04
-6.000000000000001e-05,0.08,2.96
-5.9900000000000006e-05,0.08,3.04
-5.9800000000000003e-05,0.08,2.96
-5.97e-05,0.08,2.96
-5.960000000000001e-05,0.08,3.04
-5.950000000000001e-05,0.08,3.04
-5.940000000000001e-05,0.08,2.96
-5.9300000000000005e-05,0.08,3.04
-5.92e-05,0.08,3.04
-5.91e-05,0.04,3.12
-5.900000000000001e-05,0.08,2.96
-5.890000000000001e-05,0.04,3.04
-5.8800000000000006e-05,0.04,3.04
-5.8700000000000004e-05,0.04,3.04
-5.86e-05,0.08,2.96
-5.85e-05,0.08,3.04
-5.840000000000001e-05,0.08,2.96
-5.830000000000001e-05,0.04,3.04
-5.8200000000000005e-05,0.08,3.04
-5.81e-05,0.04,3.04
-5.8e-05,0.08,2.96
-5.790000000000001e-05,0.08,3.04
-5.780000000000001e-05,0.08,3.04
-5.7700000000000007e-05,0.08,2.96
-5.7600000000000004e-05,0.08,3.12
-5.75e-05,0.08,2.96
-5.74e-05,0.04,2.96
-5.730000000000001e-05,0.08,2.96
-5.720000000000001e-05,0.04,3.04
-5.7100000000000006e-05,0.08,2.96
-5.7e-05,0.12,3.04
-5.69e-05,0.08,3.04
-5.680000000000001e-05,0.12,2.96
-5.670000000000001e-05,0.04,2.96
-5.660000000000001e-05,0.08,3.04
-5.6500000000000005e-05,0.08,3.04
-5.64e-05,0.08,3.04
-5.63e-05,0.04,3.04
-5.620000000000001e-05,0.08,2.96
-5.610000000000001e-05,0.08,2.96
-5.6000000000000006e-05,0.08,2.96
-5.5900000000000004e-05,0.08,3.04
-5.58e-05,0.08,3.04
-5.570000000000001e-05,0.04,3.04
-5.560000000000001e-05,0.04,3.12
-5.550000000000001e-05,0.08,3.04
-5.5400000000000005e-05,0.12,3.04
-5.53e-05,0.08,3.12
-5.52e-05,0.08,3.04
-5.510000000000001e-05,0.04,3.04
-5.500000000000001e-05,0.08,2.96
-5.4900000000000006e-05,0.04,3.04
-5.4800000000000004e-05,0.08,3.04
-5.47e-05,0.12,3.04
-5.46e-05,0.04,3.12
-5.450000000000001e-05,0.08,3.12
-5.440000000000001e-05,0.08,3.04
-5.4300000000000005e-05,0.08,3.04
-5.42e-05,0.04,2.96
-5.41e-05,0.08,2.96
-5.400000000000001e-05,0.08,3.04
-5.390000000000001e-05,0.04,2.96
-5.380000000000001e-05,0.08,3.04
-5.3700000000000004e-05,0.04,2.96
-5.36e-05,0.08,2.96
-5.35e-05,0.08,3.04
-5.340000000000001e-05,0.08,3.04
-5.330000000000001e-05,0.08,3.12
-5.3200000000000006e-05,0.08,3.04
-5.31e-05,0.12,2.96
-5.3e-05,0.12,2.96
-5.290000000000001e-05,0.04,3.12
-5.280000000000001e-05,0.12,3.04
-5.270000000000001e-05,0.12,3.04
-5.2600000000000005e-05,0.08,2.88
-5.25e-05,0.04,2.96
-5.24e-05,0.04,2.96
-5.230000000000001e-05,0.04,3.04
-5.220000000000001e-05,0.12,3.04
-5.2100000000000006e-05,0.08,2.88
-5.2000000000000004e-05,0.08,3.04
-5.19e-05,0.08,2.96
-5.180000000000001e-05,0.08,3.04
-5.170000000000001e-05,0.08,3.04
-5.160000000000001e-05,0.08,2.96
-5.1500000000000005e-05,0.04,2.96
-5.14e-05,0.04,3.04
-5.13e-05,0.08,2.96
-5.120000000000001e-05,0.08,3.04
-5.110000000000001e-05,0.08,3.04
-5.1000000000000006e-05,0.08,3.04
-5.0900000000000004e-05,0.08,3.04
-5.08e-05,0.04,3.04
-5.070000000000001e-05,0.12,3.04
-5.060000000000001e-05,0.04,3.04
-5.050000000000001e-05,0.12,2.96
-5.0400000000000005e-05,0.04,3.04
-5.03e-05,0.08,3.04
-5.02e-05,0.08,3.04
-5.010000000000001e-05,0.08,3.04
-5.000000000000001e-05,0.08,3.04
-4.990000000000001e-05,0.04,2.96
-4.9800000000000004e-05,0.08,2.96
-4.97e-05,0.08,2.96
-4.96e-05,0.12,3.04
-4.950000000000001e-05,0.08,3.04
-4.940000000000001e-05,0.08,2.96
-4.9300000000000006e-05,0.12,3.04
-4.92e-05,0.04,3.04
-4.91e-05,0.04,3.04
-4.900000000000001e-05,0.08,2.96
-4.890000000000001e-05,0.08,3.04
-4.880000000000001e-05,0.08,3.04
-4.8700000000000005e-05,0.08,3.04
-4.86e-05,0.08,2.96
-4.85e-05,0.08,3.04
-4.840000000000001e-05,0.08,3.04
-4.830000000000001e-05,0.08,3.04
-4.8200000000000006e-05,0.08,3.04
-4.8100000000000004e-05,0.08,3.04
-4.8e-05,0.08,3.04
-4.790000000000001e-05,0.04,2.96
-4.780000000000001e-05,0.08,3.04
-4.770000000000001e-05,0.08,3.04
-4.7600000000000005e-05,0.08,2.96
-4.75e-05,0.08,2.96
-4.74e-05,0.08,3.04
-4.730000000000001e-05,0.04,3.04
-4.720000000000001e-05,0.08,3.04
-4.7100000000000006e-05,0.04,2.96
-4.7000000000000004e-05,0.08,2.96
-4.69e-05,0.12,3.04
-4.680000000000001e-05,0.04,3.04
-4.670000000000001e-05,0.08,2.96
-4.660000000000001e-05,0.08,3.04
-4.6500000000000005e-05,0.08,2.96
