date/time: ,26/10/2022,05:17 p.m.
Run 1

time	(N)
2,720000	1,659625E+0
2,726667	1,687193E+0
2,733333	1,731991E+0
2,740000	1,769897E+0
2,746667	1,804358E+0
2,753333	1,883616E+0
2,760000	1,962874E+0
2,766667	2,038687E+0
2,773333	2,148959E+0
2,780000	2,221326E+0
2,786667	2,304030E+0
2,793333	2,386735E+0
2,800000	2,431533E+0
2,806667	2,497007E+0
2,813333	2,552144E+0
2,820000	2,648632E+0
2,826667	2,727891E+0
2,833333	2,807149E+0
2,840000	2,910530E+0
2,846667	3,003572E+0
2,853333	3,106953E+0
2,860000	3,217225E+0
2,866667	3,327498E+0
2,873333	3,410202E+0
2,880000	3,496353E+0
2,886667	3,544597E+0
2,893333	3,606625E+0
2,900000	3,658316E+0
2,906667	3,699668E+0
2,913333	3,761696E+0
2,920000	3,785818E+0
2,926667	3,858185E+0
2,933333	3,909875E+0
2,940000	3,961565E+0
2,946667	3,996026E+0
2,953333	4,047716E+0
2,960000	4,078730E+0
2,966667	4,113190E+0
2,973333	4,099406E+0
2,980000	4,099406E+0
2,986667	4,058054E+0
2,993333	4,047716E+0
3,000000	4,002918E+0
3,006667	3,985688E+0
3,013333	3,944335E+0
3,020000	3,920213E+0
3,026667	3,878861E+0
3,033333	3,861631E+0
3,040000	3,820279E+0
3,046667	3,765142E+0
3,053333	3,734128E+0
3,060000	3,665208E+0
3,066667	3,589395E+0
3,073333	3,489461E+0
3,080000	3,392972E+0
3,086667	3,286146E+0
3,093333	3,206887E+0
3,100000	3,106953E+0
3,106667	3,034586E+0
3,113333	2,948436E+0
3,120000	2,872623E+0
3,126667	2,807149E+0
3,133333	2,720999E+0
3,140000	2,638294E+0
3,146667	2,586604E+0
3,153333	2,483223E+0
3,160000	2,407411E+0
3,166667	2,297138E+0
3,173333	2,197204E+0
3,180000	2,097269E+0
3,186667	2,031795E+0
3,193333	1,959428E+0
3,200000	1,904292E+0
3,206667	1,852602E+0
3,213333	1,818142E+0
3,220000	1,780235E+0
3,226667	1,749221E+0
3,233333	1,738883E+0
3,240000	1,725099E+0
3,246667	1,683747E+0
3,253333	1,649287E+0
3,260000	1,621719E+0
3,266667	1,607934E+0
3,273333	1,570028E+0
3,280000	1,576920E+0
3,286667	1,583812E+0
3,293333	1,614826E+0
3,300000	1,645841E+0
3,306667	1,707869E+0
3,313333	1,728545E+0
3,320000	1,811250E+0
3,326667	1,859494E+0
3,333333	1,938752E+0
3,340000	1,980105E+0
3,346667	2,021457E+0
3,353333	2,059363E+0
3,360000	2,111053E+0
3,366667	2,176528E+0
3,373333	2,266124E+0
3,380000	2,331598E+0
3,386667	2,431533E+0
3,393333	2,528022E+0
3,400000	2,621064E+0
3,406667	2,731337E+0
3,413333	2,824379E+0
3,420000	2,931206E+0
3,426667	3,031140E+0
3,433333	3,117291E+0
3,440000	3,175873E+0
3,446667	3,217225E+0
3,453333	3,299930E+0
3,460000	3,368850E+0
3,466667	3,441217E+0
3,473333	3,527367E+0
3,480000	3,592841E+0
3,486667	3,675546E+0
3,493333	3,758250E+0
3,500000	3,830617E+0
3,506667	3,892645E+0
3,513333	3,947781E+0
3,520000	3,975349E+0
3,526667	3,999472E+0
3,533333	4,013256E+0
3,540000	4,027040E+0
3,546667	4,023594E+0
3,553333	4,030486E+0
3,560000	4,040824E+0
3,566667	4,040824E+0
3,573333	4,054608E+0
3,580000	4,040824E+0
3,586667	4,037378E+0
