obs_wl_air(nm),unc_obs_wl,intens
497.9625,0.002,50
499.493,0.0001,1500
499.6209,0.002,20
499.7482,0.002,150
499.8502,0.002,100
500.0395,0.002,30
500.3561,0.002,20
500.51587,0.00004,5000
500.53467,0.0003,500
501.1003,0.0001,250
501.5187,0.002,50
502.287,0.0001,250
503.13484,0.0001,2500
503.15087,0.0003,20
503.60016,0.0003,350
503.75927,0.0003,30
503.77512,0.00004,5000
504.1598,0.002,10
504.2853,0.002,150
504.5816,0.002,150
504.6608,0.002,30
505.29443,0.0003,250
505.915,0.002,20
507.40459,0.0003,30
507.42007,0.00004,350
507.65971,0.0003,350
507.87693,0.0003,150
508.0383,0.0001,1500
508.136,0.002,150
508.39773,0.0003,250
509.0321,0.002,80
509.90522,0.0003,250
510.47011,0.00004,350
511.36724,0.00004,750
511.65032,0.00004,1500
511.70246,0.0003,350
512.05059,0.0003,250
512.1866,0.002,20
512.22565,0.00004,1500
512.23613,0.0003,1500
512.828,0.002,20
514.3265,0.002,50
514.49384,0.00004,5000
514.5011,0.002,5000
514.51351,0.0003,350
515.00842,0.0003,350
515.1961,0.00004,750
515.44271,0.00004,500
515.66672,0.00004,500
515.89018,0.00004,500
516.34847,0.0003,100
518.232,0.002,20
518.86122,0.00004,1500
519.13223,0.00004,350
519.31251,0.0003,1500
519.3224,0.0001,1500
520.38962,0.00004,1500
520.6565,0.002,30
520.88648,0.00004,700
521.05672,0.00004,500
521.43389,0.00004,350
522.23517,0.00004,500
523.40271,0.00004,500
527.40393,0.00004,400
528.00853,0.00004,500
529.81891,0.00004,1500
530.4758,0.00004,700
531.47851,0.0003,300
531.68046,0.0003,250
532.055,0.002,20
532.6396,0.0001,750
533.0672,0.0003,5
533.07775,0.00004,6000
533.33083,0.0003,500
533.571,0.002,100
534.10938,0.00004,10000
534.27,0.002,10
534.30048,0.0003,100
534.32834,0.00004,6000
534.92038,0.00004,1500
535.3513,0.002,50
535.5164,0.0003,1500
535.53394,0.0003,50
535.54236,0.0003,1500
535.802,0.002,100
536.00121,0.00004,1500
536.04271,0.0003,350
536.22334,0.0003,250
536.62169,0.0003,250
537.2311,0.00004,750
537.4975,0.0001,500
538.32457,0.0003,250
540.05616,0.00004,20000
541.012,0.002,50
541.2649,0.00004,2500
541.85584,0.00004,1500
542.0155,0.002,500
543.36513,0.00004,2500
544.712,0.002,80
544.85091,0.00004,1500
549.44158,0.00004,500
550.73442,0.0003,250
551.1176,0.002,30
551.1485,0.002,150
552.063,0.002,30
553.36788,0.00004,750
553.8651,0.00004,500
555.90978,0.0003,350
556.24416,0.0003,1500
556.27662,0.00004,5000
556.30531,0.0003,750
557.60394,0.0003,350
558.5905,0.002,50
558.93472,0.0003,500
559.115,0.002,80
565.25664,0.00004,750
565.60258,0.0003,750
565.66588,0.00004,5000
566.25489,0.00004,750
568.4647,0.002,250
568.98163,0.00004,1500
571.53409,0.0003,350
571.88798,0.0003,1500
571.92248,0.00004,5000
571.953,0.0003,750
574.82985,0.00004,5000
574.86446,0.0003,700
576.05885,0.00004,700
576.40525,0.0003,30
576.44188,0.00004,7000
577.03067,0.0003,500
580.409,0.0003,750
580.44496,0.00004,5000
581.14066,0.00004,3000
581.66219,0.0003,500
582.01558,0.00004,5000
582.89063,0.0003,750
585.24878,0.00005,20000
586.84165,0.0003,750
587.2145,0.0003,750
587.28275,0.00004,5000
588.1895,0.00005,10000
589.83287,0.0003,200
590.20944,0.0003,30
590.24623,0.00004,500
590.27835,0.00004,50
590.64294,0.00004,500
591.3633,0.0001,2500
591.89068,0.00004,2500
591.9029,0.0004,80
593.44522,0.0004,750
593.93154,0.0004,500
594.4834,0.00005,5000
596.16228,0.00004,700
596.5471,0.00004,5000
596.6179,0.0004,350
597.46273,0.00004,5000
597.55343,0.00005,6000
598.23753,0.0004,80
598.79074,0.00004,1500
599.16477,0.0004,750
600.09275,0.00004,1000
602.99968,0.00005,10000
604.2013,0.002,150
604.61348,0.00004,500
606.45359,0.00004,500
607.43376,0.00005,10000
609.6163,0.00005,3000
611.80187,0.0004,150
612.84498,0.00004,1000
614.2508,0.002,1000
614.30627,0.00005,10000
615.02985,0.0004,1000
615.6138,0.0004,500
616.35937,0.00005,10000
617.28156,0.0004,150
617.48829,0.00004,700
617.52842,0.0004,500
618.2146,0.00004,1500
618.31575,0.0004,50
618.90649,0.00004,700
619.30663,0.00004,500
620.2974,0.0004,150
620.57775,0.00004,1000
621.38758,0.00004,1500
621.72812,0.00005,10000
622.5735,0.0004,500
624.67294,0.00004,1000
624.9593,0.002,50
625.2732,0.002,20
625.87884,0.0004,1000
