Model,TBS1102C
Firmware Version,v2015-08-04-prequal4ch70_v1.3

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,0.0001,
Sample Interval,8e-08,
Filter Frequency,2e+08,
Record Length,20000,
Gating,0.0% to 100.0%,0.0% to 100.0%
Probe Attenuation,1,1
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,5,0.05
Label,,
TIME,CH1,CH2
-2.35440e-04,-9.80703,0.00216406
-2.35360e-04,-9.82031,0.00247656
-2.35280e-04,-9.85,0.0026875
-2.35200e-04,-9.80469,0.00230469
-2.35120e-04,-9.81094,0.00219531
-2.35040e-04,-9.85625,0.0021875
-2.34960e-04,-9.80078,0.00239063
-2.34880e-04,-9.85,0.00224219
-2.34800e-04,-9.80234,0.00207031
-2.34720e-04,-9.80625,0.00244531
-2.34640e-04,-9.8,0.00292188
-2.34560e-04,-9.81875,0.0025
-2.34480e-04,-9.79297,0.00203125
-2.34400e-04,-9.79453,0.00267969
-2.34320e-04,-9.82188,0.00204688
-2.34240e-04,-9.80938,0.00248438
-2.34160e-04,-9.8375,0.00239844
-2.34080e-04,-9.79766,0.00270313
-2.34000e-04,-9.82812,0.00202344
-2.33920e-04,-9.80078,0.00267969
-2.33840e-04,-9.80469,0.00202344
-2.33760e-04,-9.8,0.00251563
-2.33680e-04,-9.81094,0.00252344
-2.33600e-04,-9.85859,0.00240625
-2.33520e-04,-9.80313,0.00215625
-2.33440e-04,-9.81406,0.00263281
-2.33360e-04,-9.80156,0.00223438
-2.33280e-04,-9.80078,0.00232031
-2.33200e-04,-9.8,0.00208594
-2.33120e-04,-9.85,0.00246094
-2.33040e-04,-9.80078,0.00307813
-2.32960e-04,-9.8,0.00236719
-2.32880e-04,-9.80859,0.00214063
-2.32800e-04,-9.80469,0.00210938
-2.32720e-04,-9.80703,0.00242188
-2.32640e-04,-9.82812,0.00260938
-2.32560e-04,-9.85,0.00209375
-2.32480e-04,-9.80078,0.00235156
-2.32400e-04,-9.81094,0.00204688
-2.32320e-04,-9.82812,0.00202344
-2.32240e-04,-9.80234,0.00228125
-2.32160e-04,-9.76875,0.00275
-2.32080e-04,-9.8,0.00246875
-2.32000e-04,-9.8,0.00210938
-2.31920e-04,-9.8,0.00216406
-2.31840e-04,-9.85,0.00280469
-2.31760e-04,-9.8375,0.00202344
-2.31680e-04,-9.80313,0.00209375
-2.31600e-04,-9.8,0.00210938
-2.31520e-04,-9.85156,0.00207031
-2.31440e-04,-9.8,0.00223438
-2.31360e-04,-9.80625,0.00205469
-2.31280e-04,-9.8,0.00255469
-2.31200e-04,-9.80469,0.00247656
-2.31120e-04,-9.80625,0.00286719
-2.31040e-04,-9.8,0.00203906
-2.30960e-04,-9.80938,0.00210938
-2.30880e-04,-9.80625,0.00211719
-2.30800e-04,-9.85859,0.0020625
-2.30720e-04,-9.8,0.00211719
-2.30640e-04,-9.8,0.00232813
-2.30560e-04,-9.85313,0.00270313
-2.30480e-04,-9.8375,0.00254688
-2.30400e-04,-9.80078,0.00217969
-2.30320e-04,-9.82188,0.00233594
-2.30240e-04,-9.8,0.00209375
-2.30160e-04,-9.80938,0.00225
-2.30080e-04,-9.80859,0.00217969
-2.30000e-04,-9.82891,0.0025
-2.29920e-04,-9.80625,0.00242969
-2.29840e-04,-9.8,0.00292188
-2.29760e-04,-9.80469,0.002125
-2.29680e-04,-9.8,0.00205469
-2.29600e-04,-9.8,0.00242188
-2.29520e-04,-9.8,0.00253125
-2.29440e-04,-9.83359,0.00217969
-2.29360e-04,-9.80625,0.00223438
-2.29280e-04,-9.85,0.00202344
-2.29200e-04,-9.8,0.00203906
-2.29120e-04,-9.8,0.00242188
-2.29040e-04,-9.80625,0.00255469
-2.28960e-04,-9.82812,0.00209375
-2.28880e-04,-9.8,0.00239844
-2.28800e-04,-9.86406,0.00221094
-2.28720e-04,-9.7875,0.00244531
-2.28640e-04,-9.81016,0.00214063
-2.28560e-04,-9.80781,0.00233594
-2.28480e-04,-9.8,0.00232813
-2.28400e-04,-9.8,0.00254688
-2.28320e-04,-9.8,0.00234375
-2.28240e-04,-9.80313,0.00207031
-2.28160e-04,-9.8,0.00202344
-2.28080e-04,-9.8,0.00202344
-2.28000e-04,-9.83438,0.00279688
-2.27920e-04,-9.83984,0.00202344
-2.27840e-04,-9.8,0.00207031
-2.27760e-04,-9.8,0.00282031
-2.27680e-04,-9.8,0.00292188
-2.27600e-04,-9.82109,0.00202344
-2.27520e-04,-9.8,0.00280469
-2.27440e-04,-9.8,0.00257031
-2.27360e-04,-9.80078,0.00203906
-2.27280e-04,-9.80625,0.0026875
