Freq.	V(out)
3.45743163135897e+00	(-1.43027749234557e-03dB,8.62884659732471e-01°)
3.53796555965945e+00	(-1.49733176213261e-03dB,8.38732602300191e-01°)
3.62037536413017e+00	(-1.56754509267141e-03dB,8.14018361721102e-01°)
3.70470473954028e+00	(-1.64106625888900e-03dB,7.88728870985152e-01°)
3.79099839844087e+00	(-1.71805103694440e-03dB,7.62850760707526e-01°)
3.87930209487210e+00	(-1.79866253318837e-03dB,7.36370352227909e-01°)
3.96966264862267e+00	(-1.88307152853332e-03dB,7.09273650559181e-01°)
4.06212797005424e+00	(-1.97145683894314e-03dB,6.81546337182759e-01°)
4.15674708550415e+00	(-2.06400569281390e-03dB,6.53173762687767e-01°)
4.25357016327984e+00	(-2.16091412599000e-03dB,6.24140939251276e-01°)
4.35264854025876e+00	(-2.26238739529065e-03dB,5.94432532956743e-01°)
4.45403474910785e+00	(-2.36864041132838e-03dB,5.64032855947878e-01°)
4.55778254613703e+00	(-2.47989819159899e-03dB,5.32925858415100e-01°)
4.66394693980155e+00	(-2.59639633473415e-03dB,5.01095120411793e-01°)
4.77258421986820e+00	(-2.71838151688375e-03dB,4.68523843497546e-01°)
4.88375198726084e+00	(-2.84611201130162e-03dB,4.35194842205618e-01°)
4.99750918460122e+00	(-2.97985823215609e-03dB,4.01090535331871e-01°)
5.11391612746113e+00	(-3.11990330372208e-03dB,3.66192937042441e-01°)
5.23303453634251e+00	(-3.26654365609599e-03dB,3.30483647797471e-01°)
5.35492756940245e+00	(-3.42008964868903e-03dB,2.93943845088262e-01°)
5.47965985594054e+00	(-3.58086622272627e-03dB,2.56554273985267e-01°)
5.60729753066613e+00	(-3.74921358415416e-03dB,2.18295237494398e-01°)
5.73790826876382e+00	(-3.92548791828442e-03dB,1.79146586719209e-01°)
5.87156132177581e+00	(-4.11006213769139e-03dB,1.39087710826601e-01°)
6.00832755431991e+00	(-4.30332666481650e-03dB,9.80975268137716e-02°)
6.14827948166293e+00	(-4.50569025095152e-03dB,5.61544690742729e-02°)
6.29149130816922e+00	(-4.71758083318787e-03dB,1.32364787611447e-02°)
6.43803896664484e+00	(-4.93944643110197e-03dB,-3.06790070547591e-02°)
6.58800015859809e+00	(-5.17175608497952e-03dB,-7.56150664329944e-02°)
6.74145439543792e+00	(-5.41500083747270e-03dB,-1.21595303819849e-01°)
6.89848304063191e+00	(-5.66969476063463e-03dB,-1.68643861514132e-01°)
7.05916935284627e+00	(-5.93637603041808e-03dB,-2.16785431343592e-01°)
7.22359853009065e+00	(-6.21560805078741e-03dB,-2.66045266552878e-01°)
7.39185775489132e+00	(-6.50798062963349e-03dB,-3.16449193903716e-01°)
7.56403624051643e+00	(-6.81411120888324e-03dB,-3.68023625987671e-01°)
7.74022527827813e+00	(-7.13464615120062e-03dB,-4.20795573751583e-01°)
7.92051828593636e+00	(-7.47026208582889e-03dB,-4.74792659235402e-01°)
8.10501085723024e+00	(-7.82166731622086e-03dB,-5.30043128521785e-01°)
8.29380081256314e+00	(-8.18960329219409e-03dB,-5.86575864896423e-01°)
8.48698825086828e+00	(-8.57484614950053e-03dB,-6.44420402217634e-01°)
8.68467560268261e+00	(-8.97820831978153e-03dB,-7.03606938493236e-01°)
8.88696768445675e+00	(-9.40054021404376e-03dB,-7.64166349662266e-01°)
9.09397175413011e+00	(-9.84273198285425e-03dB,-8.26130203578500e-01°)
9.30579756800046e+00	(-1.03057153566689e-02dB,-8.89530774192110e-01°)
9.52255743891815e+00	(-1.07904655697550e-02dB,-9.54401055925207e-01°)
9.74436629583591e+00	(-1.12980033713976e-02dB,-1.02077477823621e+00°)
9.97134174474565e+00	(-1.18293971281221e-02dB,-1.08868642036729e+00°)
1.02036041310348e+01	(-1.23857650209202e-02dB,-1.15817122626824e+00°)
1.04412766032948e+01	(-1.29682773415449e-02dB,-1.22926521968934e+00°)
1.06844851786166e+01	(-1.35781588920854e-02dB,-1.30200521943459e+00°)
1.09333588094060e+01	(-1.42166914922924e-02dB,-1.37642885476598e+00°)
1.11880294517562e+01	(-1.48852165991619e-02dB,-1.45257458094801e+00°)
1.14486321354128e+01	(-1.55851380435083e-02dB,-1.53048169492068e+00°)
1.17153050353681e+01	(-1.63179248885090e-02dB,-1.61019035108781e+00°)
1.19881895451236e+01	(-1.70851144151665e-02dB,-1.69174157720612e+00°)
