Freq.	V(out)
4.66394693980155e+00	(-2.58914170328052e-03dB,5.01099548521648e-01°)
4.77258421986820e+00	(-2.71112611332974e-03dB,4.68528374624057e-01°)
4.88375198726084e+00	(-2.83885579930283e-03dB,4.35199478739257e-01°)
4.99750918460122e+00	(-2.97260117366519e-03dB,4.01095279718142e-01°)
5.11391612746113e+00	(-3.11264535890069e-03dB,3.66197791783114e-01°)
5.23303453634251e+00	(-3.25928478323372e-03dB,3.30488615451845e-01°)
5.35492756940245e+00	(-3.41282980411619e-03dB,2.93948928274451e-01°)
5.47965985594054e+00	(-3.57360536072211e-03dB,2.56559475381513e-01°)
5.60729753066613e+00	(-3.74195165684681e-03dB,2.18300559840410e-01°)
5.73790826876382e+00	(-3.91822487555882e-03dB,1.79152032817532e-01°)
5.87156132177581e+00	(-4.10279792707248e-03dB,1.39093283544007e-01°)
6.00832755431991e+00	(-4.29606123137382e-03dB,9.81032290826803e-02°)
6.14827948166293e+00	(-4.49842353716931e-03dB,5.61603038942019e-02°)
6.29149130816922e+00	(-4.71031277885565e-03dB,1.32424492001884e-02°)
6.43803896664484e+00	(-4.93217697317912e-03dB,-3.06728978584278e-02°)
6.58800015859809e+00	(-5.16448515747645e-03dB,-7.56088152695916e-02°)
6.74145439543792e+00	(-5.40772837129338e-03dB,-1.21588907406412e-01°)
6.89848304063191e+00	(-5.66242068344813e-03dB,-1.68637316492932e-01°)
7.05916935284627e+00	(-5.92910026650397e-03dB,-2.16778734280513e-01°)
7.22359853009065e+00	(-6.20833052087529e-03dB,-2.66038413935765e-01°)
7.39185775489132e+00	(-6.50070125073753e-03dB,-3.16442182140701e-01°)
7.56403624051643e+00	(-6.80682989412779e-03dB,-3.68016451405460e-01°)
7.74022527827813e+00	(-7.12736280964459e-03dB,-4.20788232593724e-01°)
7.92051828593636e+00	(-7.46297662227341e-03dB,-4.74785147660513e-01°)
8.10501085723024e+00	(-7.81437963101357e-03dB,-5.30035442601761e-01°)
8.29380081256314e+00	(-8.18231328101463e-03dB,-5.86568000614616e-01°)
8.48698825086828e+00	(-8.56755370315031e-03dB,-6.44412355466991e-01°)
8.68467560268261e+00	(-8.97091332395832e-03dB,-7.03598705074424e-01°)
8.88696768445675e+00	(-9.39324254910207e-03dB,-7.64157925281766e-01°)
9.09397175413011e+00	(-9.83543152356099e-03dB,-8.26121583846659e-01°)
9.30579756800046e+00	(-1.02984119719369e-02dB,-8.89521954621186e-01°)
9.52255743891815e+00	(-1.07831591223841e-02dB,-9.54392031927379e-01°)
9.74436629583591e+00	(-1.12906937177792e-02dB,-1.02076554512156e+00°)
9.97134174474565e+00	(-1.18220841179543e-02dB,-1.08867697334175e+00°)
1.02036041310348e+01	(-1.23784484968972e-02dB,-1.15816156043156e+00°)
1.04412766032948e+01	(-1.29609571390244e-02dB,-1.22925533003297e+00°)
1.06844851786166e+01	(-1.35708348387656e-02dB,-1.30199510083958e+00°)
1.09333588094060e+01	(-1.42093634078488e-02dB,-1.37641850200086e+00°)
1.11880294517562e+01	(-1.48778842948813e-02dB,-1.45256398866665e+00°)
1.14486321354128e+01	(-1.55778013219118e-02dB,-1.53047085766009e+00°)
1.17153050353681e+01	(-1.63105835429371e-02dB,-1.61017926326600e+00°)
1.19881895451236e+01	(-1.70777682293720e-02dB,-1.69173023311989e+00°)
