Freq.	V(out)
3.53796555965945e+00	(-1.81211584242314e-01dB,-1.06744170781387e+01°)
3.62037536413017e+00	(-1.89570443265259e-01dB,-1.09596877863629e+01°)
3.70470473954028e+00	(-1.98306263526384e-01dB,-1.12510771427376e+01°)
3.79099839844087e+00	(-2.07435246785314e-01dB,-1.15486922865821e+01°)
3.87930209487210e+00	(-2.16974217971489e-01dB,-1.18526405811934e+01°)
3.96966264862267e+00	(-2.26940642461814e-01dB,-1.21630294856607e+01°)
4.06212797005424e+00	(-2.37352643200959e-01dB,-1.24799664172484e+01°)
4.15674708550415e+00	(-2.48229017591464e-01dB,-1.28035586040571e+01°)
4.25357016327984e+00	(-2.59589254068757e-01dB,-1.31339129275465e+01°)
4.35264854025876e+00	(-2.71453548273342e-01dB,-1.34711357546352e+01°)
4.45403474910785e+00	(-2.83842818721579e-01dB,-1.38153327590236e+01°)
4.55778254613703e+00	(-2.96778721871031e-01dB,-1.41666087314721e+01°)
4.66394693980155e+00	(-3.10283666466294e-01dB,-1.45250673787386e+01°)
4.77258421986820e+00	(-3.24380827044571e-01dB,-1.48908111109578e+01°)
4.88375198726084e+00	(-3.39094156471342e-01dB,-1.52639408172602e+01°)
4.99750918460122e+00	(-3.54448397367642e-01dB,-1.56445556294704e+01°)
5.11391612746113e+00	(-3.70469092282946e-01dB,-1.60327526737908e+01°)
5.23303453634251e+00	(-3.87182592458372e-01dB,-1.64286268104144e+01°)
5.35492756940245e+00	(-4.04616065017964e-01dB,-1.68322703611021e+01°)
5.47965985594054e+00	(-4.22797498416686e-01dB,-1.72437728248003e+01°)
5.60729753066613e+00	(-4.41755705967624e-01dB,-1.76632205814887e+01°)
5.73790826876382e+00	(-4.61520327263070e-01dB,-1.80906965845105e+01°)
5.87156132177581e+00	(-4.82121827298899e-01dB,-1.85262800417585e+01°)
6.00832755431991e+00	(-5.03591493105253e-01dB,-1.89700460861704e+01°)
6.14827948166293e+00	(-5.25961427683605e-01dB,-1.94220654361309e+01°)
6.29149130816922e+00	(-5.49264541046173e-01dB,-1.98824040464794e+01°)
6.43803896664484e+00	(-5.73534538152602e-01dB,-2.03511227509646e+01°)
6.58800015859809e+00	(-5.98805903538583e-01dB,-2.08282768971254e+01°)
6.74145439543792e+00	(-6.25113882433060e-01dB,-2.13139159747229e+01°)
6.89848304063191e+00	(-6.52494458164064e-01dB,-2.18080832390015e+01°)
7.05916935284627e+00	(-6.80984325660296e-01dB,-2.23108153302239e+01°)
7.22359853009065e+00	(-7.10620860862642e-01dB,-2.28221418910731e+01°)
7.39185775489132e+00	(-7.41442085872039e-01dB,-2.33420851836912e+01°)
7.56403624051643e+00	(-7.73486629674616e-01dB,-2.38706597083040e+01°)
7.74022527827813e+00	(-8.06793684300290e-01dB,-2.44078718255157e+01°)
7.92051828593636e+00	(-8.41402956293356e-01dB,-2.49537193845588e+01°)
8.10501085723024e+00	(-8.77354613395578e-01dB,-2.55081913599159e+01°)
8.29380081256314e+00	(-9.14689226370268e-01dB,-2.60712674989011e+01°)
8.48698825086828e+00	(-9.53447705925726e-01dB,-2.66429179829179e+01°)
8.68467560268261e+00	(-9.93671234730229e-01dB,-2.72231031052457e+01°)
8.88696768445675e+00	(-1.03540119454833e+00dB,-2.78117729683163e+01°)
9.09397175413011e+00	(-1.07867908856766e+00dB,-2.84088672035258e+01°)
9.30579756800046e+00	(-1.12354645903082e+00dB,-2.90143147167184e+01°)
9.52255743891815e+00	(-1.17004480033025e+00dB,-2.96280334624848e+01°)
9.74436629583591e+00	(-1.21821546777564e+00dB,-3.02499302504659e+01°)
9.97134174474565e+00	(-1.26809958229140e+00dB,-3.08799005868020e+01°)
1.02036041310348e+01	(-1.31973793135643e+00dB,-3.15178285538379e+01°)
1.04412766032948e+01	(-1.37317086654818e+00dB,-3.21635867310679e+01°)
1.06844851786166e+01	(-1.42843819810980e+00dB,-3.28170361602037e+01°)
1.09333588094060e+01	(-1.48557908700852e+00dB,-3.34780263570364e+01°)
1.11880294517562e+01	(-1.54463193500741e+00dB,-3.41463953725734e+01°)
1.14486321354128e+01	(-1.60563427331998e+00dB,-3.48219699056419e+01°)
