t,V_R
-0.0019560000000000003,-5.2
-0.001954,-5.2
-0.0019520000000000002,-5.2
-0.0019500000000000001,-5.2
-0.001948,-4.800000000000001
-0.001946,-4.800000000000001
-0.001944,-4.800000000000001
-0.0019420000000000001,-4.800000000000001
-0.00194,-4.800000000000001
-0.001938,-4.800000000000001
-0.0019360000000000002,-4.800000000000001
-0.001934,-4.800000000000001
-0.0019320000000000001,-4.4
-0.00193,-4.4
-0.001928,-4.4
-0.0019260000000000002,-4.4
-0.001924,-4.4
-0.001922,-4.4
-0.00192,-4.4
-0.001918,-4.4
-0.0019160000000000002,-4.4
-0.0019140000000000001,-4.4
-0.001912,-4.4
-0.0019100000000000002,-4.0
-0.001908,-4.0
-0.0019060000000000001,-4.0
-0.001904,-4.0
-0.001902,-4.0
-0.0019000000000000002,-4.0
-0.001898,-4.0
-0.0018960000000000001,-4.0
-0.001894,-4.0
-0.001892,-4.0
-0.0018900000000000002,-3.6
-0.001888,-3.6
-0.001886,-3.6
-0.001884,-3.6
-0.001882,-3.6
-0.0018800000000000002,-3.6
-0.0018780000000000001,-3.6
-0.001876,-3.6
-0.0018740000000000002,-3.6
-0.001872,-3.6
-0.0018700000000000001,-3.6
-0.001868,-3.6
-0.001866,-3.2
-0.0018640000000000002,-3.2
-0.001862,-3.2
-0.00186,-3.2
-0.001858,-3.2
-0.001856,-3.2
-0.0018540000000000002,-3.2
-0.0018520000000000001,-3.2
-0.00185,-3.2
-0.001848,-3.2
-0.001846,-3.2
-0.0018440000000000002,-3.2
-0.001842,-3.2
-0.00184,-2.8000000000000003
-0.0018380000000000002,-2.8000000000000003
-0.001836,-2.8000000000000003
-0.0018340000000000001,-2.8000000000000003
-0.001832,-2.8000000000000003
-0.00183,-2.8000000000000003
-0.0018280000000000002,-2.8000000000000003
-0.001826,-2.8000000000000003
-0.001824,-2.8000000000000003
-0.001822,-2.8000000000000003
-0.00182,-2.8000000000000003
-0.0018180000000000002,-2.8000000000000003
-0.0018160000000000001,-2.8000000000000003
-0.001814,-2.8000000000000003
-0.0018120000000000002,-2.8000000000000003
-0.00181,-2.4000000000000004
-0.0018080000000000001,-2.4000000000000004
-0.001806,-2.4000000000000004
-0.001804,-2.4000000000000004
-0.0018020000000000002,-2.4000000000000004
-0.0018,-2.4000000000000004
-0.0017980000000000001,-2.4000000000000004
-0.001796,-2.4000000000000004
-0.001794,-2.4000000000000004
-0.0017920000000000002,-2.4000000000000004
-0.00179,-2.4000000000000004
-0.001788,-2.4000000000000004
-0.001786,-2.4000000000000004
-0.001784,-2.4000000000000004
-0.0017820000000000002,-2.4000000000000004
-0.0017800000000000001,-2.4000000000000004
-0.001778,-2.0
-0.0017760000000000002,-2.0
-0.001774,-2.0
-0.0017720000000000001,-2.0
-0.00177,-2.0
-0.001768,-2.0
-0.0017660000000000002,-2.0
-0.001764,-2.0
-0.0017620000000000001,-2.0
-0.00176,-2.0
-0.001758,-2.0
-0.0017560000000000002,-2.0
-0.0017540000000000001,-2.0
-0.001752,-2.0
-0.00175,-2.0
-0.001748,-2.0
-0.0017460000000000002,-2.0
-0.001744,-2.0
-0.001742,-2.0
-0.0017400000000000002,-2.0
-0.001738,-2.0
-0.0017360000000000001,-1.6
-0.001734,-1.6
-0.001732,-1.6
-0.0017300000000000002,-1.6
-0.001728,-1.6
-0.001726,-1.6
-0.001724,-1.6
-0.001722,-1.6
-0.0017200000000000002,-1.6
-0.0017180000000000001,-1.6
-0.001716,-1.6
-0.0017140000000000002,-1.6
-0.001712,-1.6
-0.0017100000000000001,-1.6
-0.001708,-1.6
-0.001706,-1.6
-0.0017040000000000002,-1.6
-0.001702,-1.6
-0.0017000000000000001,-1.6
-0.001698,-1.6
-0.001696,-1.6
-0.0016940000000000002,-1.6
-0.001692,-1.6
-0.00169,-1.6
-0.001688,-1.2000000000000002
-0.001686,-1.2000000000000002
-0.0016840000000000002,-1.6
-0.0016820000000000001,-1.2000000000000002
-0.00168,-1.2000000000000002
-0.0016780000000000002,-1.2000000000000002
-0.001676,6.4
-0.0016740000000000001,27.200000000000003
-0.001672,27.200000000000003
-0.00167,27.200000000000003
-0.0016680000000000002,26.8
-0.001666,26.8
-0.0016640000000000001,26.400000000000002
-0.001662,26.400000000000002
-0.00166,26.0
-0.0016580000000000002,26.0
-0.0016560000000000001,25.6
-0.001654,25.6
-0.001652,25.200000000000003
-0.00165,25.200000000000003
-0.0016480000000000002,25.200000000000003
-0.0016460000000000001,24.8
-0.001644,24.8
-0.0016420000000000002,24.400000000000002
-0.00164,24.400000000000002
-0.0016380000000000001,24.0
-0.001636,24.0
-0.001634,23.6
-0.0016320000000000002,23.6
-0.00163,23.200000000000003
-0.001628,23.200000000000003
-0.001626,22.8
