t,V_R
-0.001748,12.0
-0.0017460000000000002,12.0
-0.001744,12.0
-0.001742,12.0
-0.0017400000000000002,11.600000000000001
-0.001738,11.600000000000001
-0.0017360000000000001,11.600000000000001
-0.001734,11.200000000000001
-0.001732,11.200000000000001
-0.0017300000000000002,11.200000000000001
-0.001728,11.200000000000001
-0.001726,10.8
-0.001724,10.8
-0.001722,10.8
-0.0017200000000000002,10.8
-0.0017180000000000001,10.4
-0.001716,10.4
-0.0017140000000000002,10.4
-0.001712,10.0
-0.0017100000000000001,10.0
-0.001708,10.0
-0.001706,10.0
-0.0017040000000000002,10.0
-0.001702,9.600000000000001
-0.0017000000000000001,9.600000000000001
-0.001698,9.600000000000001
-0.001696,9.600000000000001
-0.0016940000000000002,9.600000000000001
-0.001692,9.200000000000001
-0.00169,9.200000000000001
-0.001688,9.200000000000001
-0.001686,8.8
-0.0016840000000000002,8.8
-0.0016820000000000001,8.8
-0.00168,8.8
-0.0016780000000000002,8.8
-0.001676,8.8
-0.0016740000000000001,8.4
-0.001672,8.4
-0.00167,8.4
-0.0016680000000000002,8.0
-0.001666,8.0
-0.0016640000000000001,8.0
-0.001662,8.0
-0.00166,8.0
-0.0016580000000000002,8.0
-0.0016560000000000001,8.0
-0.001654,7.6000000000000005
-0.001652,7.6000000000000005
-0.00165,7.2
-0.0016480000000000002,7.6000000000000005
-0.0016460000000000001,7.2
-0.001644,7.2
-0.0016420000000000002,7.2
-0.00164,7.2
-0.0016380000000000001,7.2
-0.001636,6.800000000000001
-0.001634,6.800000000000001
-0.0016320000000000002,6.800000000000001
-0.00163,6.800000000000001
-0.001628,6.800000000000001
-0.001626,6.800000000000001
-0.001624,6.800000000000001
-0.0016220000000000002,6.4
-0.0016200000000000001,6.4
-0.001618,6.4
-0.0016160000000000002,6.4
-0.001614,6.4
-0.0016120000000000002,6.4
-0.00161,6.0
-0.001608,6.0
-0.0016060000000000002,6.0
-0.001604,6.0
-0.0016020000000000001,6.0
-0.0016,5.6000000000000005
-0.001598,5.6000000000000005
-0.0015960000000000002,5.6000000000000005
-0.001594,5.6000000000000005
-0.001592,5.6000000000000005
-0.00159,5.6000000000000005
-0.001588,5.2
-0.0015860000000000002,5.2
-0.0015840000000000001,5.2
-0.001582,5.6000000000000005
-0.0015800000000000002,5.2
-0.001578,5.2
-0.0015760000000000001,5.2
-0.001574,5.2
-0.001572,5.2
-0.0015700000000000002,5.2
-0.001568,5.2
-0.0015660000000000001,4.800000000000001
-0.001564,4.800000000000001
-0.001562,4.800000000000001
-0.0015600000000000002,4.800000000000001
-0.0015580000000000001,4.800000000000001
-0.001556,4.800000000000001
-0.001554,4.4
-0.001552,4.4
-0.0015500000000000002,4.4
-0.0015480000000000001,4.800000000000001
-0.001546,4.4
-0.0015440000000000002,4.4
-0.001542,4.4
-0.0015400000000000001,4.4
-0.001538,4.4
-0.001536,4.0
-0.0015340000000000002,4.4
-0.001532,4.4
-0.0015300000000000001,4.4
-0.001528,4.0
-0.001526,4.0
-0.0015240000000000002,4.0
-0.0015220000000000001,4.0
-0.00152,4.0
-0.001518,4.0
-0.0015160000000000002,3.6
-0.0015140000000000002,3.6
-0.001512,3.6
-0.00151,3.6
-0.001508,3.6
-0.0015060000000000002,3.6
-0.0015040000000000001,3.6
-0.001502,3.6
-0.0015,3.6
-0.0014980000000000002,3.6
-0.0014960000000000002,3.2
-0.001494,3.2
-0.001492,3.2
-0.00149,3.2
-0.0014880000000000002,3.6
-0.0014860000000000001,3.2
-0.001484,3.2
-0.001482,3.2
-0.0014800000000000002,3.2
-0.0014780000000000001,3.2
-0.001476,3.2
-0.001474,2.8000000000000003
-0.001472,3.2
-0.0014700000000000002,2.8000000000000003
-0.0014680000000000001,2.8000000000000003
-0.001466,3.2
-0.001464,2.8000000000000003
-0.0014620000000000002,2.8000000000000003
-0.0014600000000000001,2.8000000000000003
-0.001458,2.8000000000000003
-0.001456,2.8000000000000003
-0.001454,2.8000000000000003
-0.0014520000000000002,2.8000000000000003
-0.0014500000000000001,2.8000000000000003
-0.001448,2.8000000000000003
-0.001446,2.8000000000000003
-0.0014440000000000002,2.4000000000000004
-0.0014420000000000001,2.8000000000000003
-0.00144,2.8000000000000003
-0.001438,2.8000000000000003
-0.001436,2.4000000000000004
-0.0014340000000000002,2.8000000000000003
-0.0014320000000000001,2.4000000000000004
-0.00143,2.8000000000000003
-0.001428,2.8000000000000003
-0.0014260000000000002,2.4000000000000004
-0.0014240000000000001,2.4000000000000004
-0.001422,2.4000000000000004
-0.00142,2.4000000000000004
-0.0014180000000000002,2.4000000000000004
-0.0014160000000000002,2.4000000000000004
-0.0014140000000000001,2.4000000000000004
-0.001412,2.4000000000000004
-0.00141,2.4000000000000004
-0.0014080000000000002,2.4000000000000004
-0.0014060000000000001,2.4000000000000004
-0.001404,2.4000000000000004
-0.001402,2.4000000000000004
-0.0014000000000000002,2.4000000000000004
-0.0013980000000000002,2.4000000000000004
-0.001396,2.4000000000000004
-0.001394,2.4000000000000004
-0.001392,2.4000000000000004
-0.0013900000000000002,2.4000000000000004
-0.0013880000000000001,2.4000000000000004
-0.001386,2.0
-0.001384,2.4000000000000004
-0.0013820000000000002,2.0
-0.0013800000000000002,2.0
-0.001378,2.0
-0.001376,2.0
-0.001374,2.0
