t,V1,V2
-0.031520000000000006,1.36,-3.52
-0.03148,1.28,-3.52
-0.03144,1.28,-3.52
-0.0314,1.2,-3.6
-0.03136,1.2,-3.6
-0.03132,1.12,-3.6
-0.03128,1.12,-3.6
-0.03124,1.04,-3.68
-0.031200000000000002,1.04,-3.6
-0.03116,0.96,-3.68
-0.031120000000000002,0.96,-3.68
-0.03108,0.88,-3.7600000000000002
-0.03104,0.8,-3.68
-0.031,0.8,-3.68
-0.03096,0.8,-3.7600000000000002
-0.03092,0.72,-3.7600000000000002
-0.03088,0.72,-3.7600000000000002
-0.030840000000000003,0.64,-3.7600000000000002
-0.0308,0.64,-3.7600000000000002
-0.030760000000000003,0.56,-3.7600000000000002
-0.03072,0.48,-3.7600000000000002
-0.030680000000000002,0.48,-3.84
-0.03064,0.4,-3.7600000000000002
-0.030600000000000002,0.4,-3.7600000000000002
-0.03056,0.32,-3.84
-0.030520000000000002,0.32,-3.84
-0.03048,0.24,-3.84
-0.030440000000000002,0.24,-3.84
-0.0304,0.24,-3.84
-0.03036,0.16,-3.84
-0.03032,0.08,-3.84
-0.03028,0.08,-3.84
-0.03024,0.0,-3.7600000000000002
-0.0302,0.0,-3.84
-0.030160000000000003,0.0,-3.7600000000000002
-0.03012,-0.08,-3.84
-0.030080000000000003,-0.08,-3.84
-0.03004,-0.16,-3.84
-0.030000000000000002,-0.24,-3.7600000000000002
-0.02996,-0.24,-3.7600000000000002
-0.029920000000000002,-0.32,-3.84
-0.02988,-0.32,-3.84
-0.029840000000000002,-0.4,-3.7600000000000002
-0.0298,-0.48,-3.7600000000000002
-0.02976,-0.56,-3.7600000000000002
-0.02972,-0.48,-3.7600000000000002
-0.02968,-0.56,-3.7600000000000002
-0.02964,-0.56,-3.7600000000000002
-0.0296,-0.64,-3.7600000000000002
-0.02956,-0.64,-3.7600000000000002
-0.02952,-0.72,-3.68
-0.029480000000000003,-0.8,-3.7600000000000002
-0.02944,-0.8,-3.68
-0.029400000000000003,-0.8,-3.68
-0.02936,-0.96,-3.68
-0.029320000000000002,-0.88,-3.6
-0.02928,-0.96,-3.6
-0.029240000000000002,-1.04,-3.6
-0.0292,-1.04,-3.6
-0.029160000000000002,-1.12,-3.52
-0.02912,-1.12,-3.6
-0.02908,-1.2,-3.52
-0.02904,-1.2,-3.52
-0.029,-1.28,-3.52
-0.02896,-1.28,-3.44
-0.02892,-1.28,-3.52
-0.02888,-1.28,-3.44
-0.02884,-1.36,-3.44
-0.028800000000000003,-1.44,-3.44
-0.02876,-1.44,-3.44
-0.028720000000000002,-1.52,-3.44
-0.02868,-1.52,-3.44
-0.028640000000000002,-1.6,-3.36
-0.0286,-1.68,-3.36
-0.028560000000000002,-1.68,-3.2800000000000002
-0.02852,-1.68,-3.2800000000000002
-0.028480000000000002,-1.68,-3.2800000000000002
-0.02844,-1.76,-3.2
-0.0284,-1.84,-3.2
-0.02836,-1.84,-3.12
-0.02832,-1.92,-3.12
-0.02828,-1.92,-3.12
-0.02824,-1.92,-3.12
-0.0282,-1.92,-3.04
-0.02816,-2.0,-3.04
-0.028120000000000003,-2.08,-2.96
-0.02808,-2.0,-2.96
-0.028040000000000002,-2.08,-2.96
-0.028,-2.16,-2.88
-0.027960000000000002,-2.16,-2.8000000000000003
-0.02792,-2.24,-2.88
-0.027880000000000002,-2.24,-2.8000000000000003
-0.02784,-2.24,-2.8000000000000003
-0.027800000000000002,-2.24,-2.8000000000000003
-0.02776,-2.32,-2.72
-0.02772,-2.4,-2.72
-0.02768,-2.4,-2.64
-0.02764,-2.4,-2.64
-0.0276,-2.4,-2.56
-0.02756,-2.48,-2.56
-0.02752,-2.48,-2.48
-0.02748,-2.48,-2.48
-0.027440000000000003,-2.56,-2.48
-0.0274,-2.56,-2.4
-0.027360000000000002,-2.56,-2.32
-0.02732,-2.64,-2.24
