date/time: ,28/09/2022,05:47 p.m.
Run 1

time	(V)
52,010667	4,511106E+0
52,011333	4,503560E+0
52,012000	4,503560E+0
52,012667	4,503560E+0
52,013333	4,503560E+0
52,014000	4,508591E+0
52,014667	4,511106E+0
52,015333	4,511106E+0
52,016000	4,511106E+0
52,016667	4,516137E+0
52,017333	4,518653E+0
52,018000	4,518653E+0
52,018667	4,508591E+0
52,019333	4,511106E+0
52,020000	4,511106E+0
52,020667	4,508591E+0
52,021333	4,511106E+0
52,022000	4,506076E+0
52,022667	4,506076E+0
52,023333	4,506076E+0
52,024000	4,506076E+0
52,024667	4,506076E+0
52,025333	4,508591E+0
52,026000	4,508591E+0
52,026667	4,508591E+0
52,027333	4,508591E+0
52,028000	4,518653E+0
52,028667	4,516137E+0
52,029333	4,516137E+0
52,030000	4,513622E+0
52,030667	4,516137E+0
52,031333	4,511106E+0
52,032000	4,508591E+0
52,032667	4,511106E+0
52,033333	4,508591E+0
52,034000	4,506076E+0
52,034667	4,501045E+0
52,035333	4,496014E+0
52,036000	4,511106E+0
52,036667	4,511106E+0
52,037333	4,511106E+0
52,038000	4,508591E+0
52,038667	4,521168E+0
52,039333	4,518653E+0
52,040000	4,516137E+0
52,040667	4,518653E+0
52,041333	4,518653E+0
52,042000	4,518653E+0
52,042667	4,518653E+0
52,043333	4,518653E+0
52,044000	4,518653E+0
52,044667	4,516137E+0
52,045333	4,518653E+0
52,046000	4,518653E+0
52,046667	4,516137E+0
52,047333	4,513622E+0
52,048000	4,516137E+0
52,048667	4,516137E+0
52,049333	4,518653E+0
52,050000	4,518653E+0
52,050667	4,513622E+0
52,051333	4,516137E+0
52,052000	4,516137E+0
52,052667	4,518653E+0
52,053333	4,511106E+0
52,054000	4,508591E+0
52,054667	4,506076E+0
52,055333	4,513622E+0
52,056000	4,511106E+0
52,056667	4,503560E+0
52,057333	4,506076E+0
52,058000	4,506076E+0
52,058667	4,503560E+0
52,059333	4,506076E+0
52,060000	4,511106E+0
52,060667	4,511106E+0
52,061333	4,513622E+0
52,062000	4,508591E+0
52,062667	4,508591E+0
52,063333	4,511106E+0
52,064000	4,518653E+0
52,064667	4,518653E+0
52,065333	4,516137E+0
52,066000	4,518653E+0
52,066667	4,516137E+0
52,067333	4,511106E+0
52,068000	4,511106E+0
52,068667	4,511106E+0
52,069333	4,506076E+0
52,070000	4,506076E+0
52,070667	4,506076E+0
52,071333	4,503560E+0
52,072000	4,511106E+0
52,072667	4,511106E+0
52,073333	4,508591E+0
52,074000	4,511106E+0
52,074667	4,518653E+0
52,075333	4,516137E+0
52,076000	4,516137E+0
52,076667	4,508591E+0
52,077333	4,513622E+0
52,078000	4,511106E+0
52,078667	4,508591E+0
52,079333	4,506076E+0
52,080000	4,506076E+0
52,080667	4,506076E+0
52,081333	4,506076E+0
52,082000	4,503560E+0
52,082667	4,506076E+0
52,083333	4,508591E+0
52,084000	4,511106E+0
52,084667	4,508591E+0
52,085333	4,511106E+0
52,086000	4,508591E+0
52,086667	4,516137E+0
52,087333	4,513622E+0
52,088000	4,516137E+0
52,088667	4,521168E+0
52,089333	4,513622E+0
52,090000	4,513622E+0
52,090667	4,516137E+0
52,091333	4,516137E+0
52,092000	4,508591E+0
52,092667	4,511106E+0
52,093333	4,508591E+0
52,094000	4,508591E+0
52,094667	4,506076E+0
52,095333	4,506076E+0
52,096000	4,506076E+0
52,096667	4,503560E+0
52,097333	4,508591E+0
52,098000	4,511106E+0
52,098667	4,513622E+0
52,099333	4,508591E+0
52,100000	4,513622E+0
52,100667	4,511106E+0
52,101333	4,508591E+0
52,102000	4,518653E+0
52,102667	4,516137E+0
52,103333	4,518653E+0
52,104000	4,518653E+0
52,104667	4,518653E+0
52,105333	4,508591E+0
52,106000	4,513622E+0
52,106667	4,511106E+0
52,107333	4,508591E+0
52,108000	4,511106E+0
52,108667	4,506076E+0
52,109333	4,506076E+0
52,110000	4,506076E+0
52,110667	4,508591E+0
