,V_e,V_m,fase,Re,Im
112,5.020134228187919,2.18431e-11,-136.896,-1.59971e-11,-1.49712e-11
113,5.100671140939596,2.18431e-11,-136.512,-1.61383e-11,-1.53096e-11
114,5.181208053691275,2.18431e-11,-136.698,-1.6331e-11,-1.53914e-11
115,5.2617449664429525,2.18431e-11,-136.854,-1.62964e-11,-1.52741e-11
116,5.34228187919463,2.18431e-11,-136.542,-1.6482e-11,-1.56187e-11
117,5.422818791946309,2.18431e-11,-136.59,-1.63914e-11,-1.55077e-11
118,5.503355704697986,2.18431e-11,-136.614,-1.63763e-11,-1.54793e-11
119,5.5838926174496635,2.18431e-11,-136.656,-1.64412e-11,-1.55193e-11
120,5.6644295302013425,2.18431e-11,-136.176,-1.64367e-11,-1.57759e-11
121,5.74496644295302,2.18431e-11,-136.494,-1.65549e-11,-1.57129e-11
122,5.825503355704697,2.18431e-11,-135.558,-1.64572e-11,-1.6141e-11
123,5.906040268456374,2.18431e-11,-136.524,-1.67325e-11,-1.58665e-11
124,5.9865771812080535,2.18431e-11,-136.548,-1.67156e-11,-1.58346e-11
125,6.067114093959731,2.18431e-11,-136.644,-1.68684e-11,-1.59278e-11
126,6.147651006711408,2.18431e-11,-136.152,-1.68711e-11,-1.62049e-11
127,6.228187919463087,2.18431e-11,-136.476,-1.68338e-11,-1.59891e-11
128,6.308724832214764,2.18431e-11,-136.29,-1.68853e-11,-1.61419e-11
129,6.389261744966442,2.18431e-11,-136.662,-1.70345e-11,-1.60744e-11
130,6.469798657718121,2.18431e-11,-136.344,-1.69084e-11,-1.6133e-11
131,6.550335570469798,2.18431e-11,-136.038,-1.6975e-11,-1.6371e-11
132,6.630872483221475,2.18431e-11,-136.446,-1.7173e-11,-1.63293e-11
133,6.7114093959731544,2.18431e-11,-136.932,-1.72787e-11,-1.61499e-11
134,6.791946308724832,2.18431e-11,-136.608,-1.72627e-11,-1.63195e-11
135,6.872483221476509,2.18431e-11,-136.836,-1.71926e-11,-1.61259e-11
136,6.953020134228186,2.18431e-11,-136.932,-1.74724e-11,-1.63328e-11
137,7.033557046979865,2.18431e-11,-136.536,-1.74564e-11,-1.65451e-11
138,7.114093959731543,2.18431e-11,-136.914,-1.75283e-11,-1.63932e-11
139,7.19463087248322,2.18431e-11,-137.238,-1.75985e-11,-1.62733e-11
140,7.275167785234899,2.18431e-11,-136.422,-1.73338e-11,-1.64945e-11
141,7.355704697986576,2.18431e-11,-136.074,-1.73311e-11,-1.66934e-11
142,7.436241610738254,2.18431e-11,-136.638,-1.7721e-11,-1.67352e-11
143,7.516778523489933,2.18431e-11,-136.074,-1.75328e-11,-1.68862e-11
144,7.59731543624161,2.18431e-11,-136.668,-1.77601e-11,-1.67547e-11
145,7.677852348993287,2.18431e-11,-135.984,-1.7396e-11,-1.68089e-11
146,7.758389261744966,2.18431e-11,-136.608,-1.75923e-11,-1.6633e-11
147,7.838926174496644,2.18431e-11,-136.47,-1.78223e-11,-1.69297e-11
148,7.919463087248321,2.18431e-11,-136.266,-1.77317e-11,-1.69661e-11
149,8.0,2.18431e-11,-137.1,-1.80488e-11,-1.67734e-11
