t,V1
-0.04819999999999999,0.76
-0.04809999999999999,0.76
-0.048,0.76
-0.0479,0.76
-0.047799999999999995,0.76
-0.04769999999999999,0.84
-0.04759999999999999,0.88
-0.0475,0.88
-0.0474,0.92
-0.047299999999999995,0.92
-0.04719999999999999,0.92
-0.0471,0.88
-0.047,0.88
-0.0469,0.96
-0.046799999999999994,0.88
-0.04669999999999999,0.8
-0.0466,0.88
-0.0465,0.92
-0.0464,0.96
-0.046299999999999994,1.0
-0.04619999999999999,1.04
-0.0461,0.92
-0.046,0.92
-0.045899999999999996,0.96
-0.045799999999999993,1.08
-0.04569999999999999,1.12
-0.0456,1.08
-0.0455,1.04
-0.045399999999999996,1.08
-0.04529999999999999,1.04
-0.04519999999999999,1.12
-0.0451,1.12
-0.045,1.0
-0.044899999999999995,0.96
-0.04479999999999999,0.92
-0.04469999999999999,1.0
-0.0446,1.04
-0.0445,1.12
-0.044399999999999995,1.12
-0.04429999999999999,1.04
-0.04419999999999999,1.0
-0.0441,1.12
-0.044,1.08
-0.043899999999999995,1.12
-0.04379999999999999,1.12
-0.0437,1.12
-0.0436,1.2
-0.0435,1.12
-0.043399999999999994,1.08
-0.04329999999999999,1.12
-0.0432,1.16
-0.0431,1.16
-0.043,1.2
-0.042899999999999994,1.12
-0.04279999999999999,1.08
-0.0427,1.12
-0.0426,1.16
-0.042499999999999996,1.24
-0.04239999999999999,1.24
-0.04229999999999999,1.28
-0.0422,1.2
-0.0421,1.36
-0.041999999999999996,1.36
-0.04189999999999999,1.32
-0.04179999999999999,1.36
-0.0417,1.28
-0.0416,1.24
-0.041499999999999995,1.16
-0.04139999999999999,1.16
-0.04129999999999999,1.12
-0.0412,1.28
-0.0411,1.28
-0.040999999999999995,1.24
-0.04089999999999999,1.2
-0.04079999999999999,1.16
-0.0407,1.12
-0.0406,1.28
-0.040499999999999994,1.24
-0.04039999999999999,1.24
-0.0403,1.28
-0.0402,1.36
-0.0401,1.24
-0.039999999999999994,1.32
-0.03989999999999999,1.24
-0.0398,1.2
-0.0397,1.16
-0.039599999999999996,1.28
-0.03949999999999999,1.44
-0.03939999999999999,1.4000000000000001
