Model,TBS1102C
Firmware Version,v2015-08-04-prequal4ch70_v1.3

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,0.0002,
Sample Interval,1.6e-07,
Filter Frequency,2e+08,
Record Length,20000,
Gating,0.0% to 100.0%,0.0% to 100.0%
Probe Attenuation,1,1
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,5,0.005
Label,,
TIME,CH1,CH2
-3.1104e-04,-9.8,0.0006
-3.1088e-04,-9.8,0.0008
-3.1072e-04,-9.8,0.0006
-3.1056e-04,-9.8,0.0006
-3.1040e-04,-9.8,0.0004
-3.1024e-04,-9.8,0.0006
-3.1008e-04,-9.8,0.0004
-3.0992e-04,-9.8,0.0006
-3.0976e-04,-9.8,0.0002
-3.0960e-04,-9.8,0.0008
-3.0944e-04,-9.8,0.0004
-3.0928e-04,-9.8,0.0004
-3.0912e-04,-9.8,0.0004
-3.0896e-04,-9.8,0.0004
-3.0880e-04,-9.8,0.0006
-3.0864e-04,-9.8,0.0006
-3.0848e-04,-9.8,0.0006
-3.0832e-04,-9.8,0.0006
-3.0816e-04,-9.8,0.0006
-3.0800e-04,-9.8,0.0004
-3.0784e-04,-9.8,0.0006
-3.0768e-04,-9.8,0.0004
-3.0752e-04,-9.8,0.0004
-3.0736e-04,-9.8,0.0008
-3.0720e-04,-9.8,0.0006
-3.0704e-04,-9.8,0.0006
-3.0688e-04,-9.8,0.0002
-3.0672e-04,-9.8,0.0004
-3.0656e-04,-9.8,0.0006
-3.0640e-04,-9.8,0.0006
-3.0624e-04,-10,0.0006
-3.0608e-04,-10,0.0006
-3.0592e-04,-9.8,0.0006
-3.0576e-04,-9.8,0.0004
-3.0560e-04,-9.8,0.0004
-3.0544e-04,-9.8,0.0006
-3.0528e-04,-9.8,0.0004
-3.0512e-04,-9.8,0.0004
-3.0496e-04,-9.8,0.0008
-3.0480e-04,-9.8,0.0004
-3.0464e-04,-9.8,0.0002
-3.0448e-04,-9.8,0.0002
-3.0432e-04,-9.8,0.0004
-3.0416e-04,-9.8,0.0004
-3.0400e-04,-9.8,0.0006
-3.0384e-04,-9.8,0.0004
-3.0368e-04,-9.8,0.0004
-3.0352e-04,-9.8,0.0006
-3.0336e-04,-9.8,0.0006
-3.0320e-04,-9.8,0.0004
-3.0304e-04,-9.8,0.0004
-3.0288e-04,-9.8,0.0008
-3.0272e-04,-9.8,0.0006
-3.0256e-04,-9.8,0.0002
-3.0240e-04,-9.8,0.0006
-3.0224e-04,-9.8,0.0002
-3.0208e-04,-9.8,0.0002
-3.0192e-04,-9.8,0.0006
